"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 23 09:42:33 GMT 2023","Wed Aug 23 09:42:39 GMT 2023","6213","","guru.qa.StepsTest","","guru.qa.StepsTest","testAnnotatedStep","Поиск Issue по названию",""
"passed","Wed Aug 23 09:42:25 GMT 2023","Wed Aug 23 09:42:33 GMT 2023","7710","","guru.qa.SelenideTest","","guru.qa.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Wed Aug 23 09:42:40 GMT 2023","Wed Aug 23 09:42:42 GMT 2023","2727","","guru.qa.StepsTest","","guru.qa.StepsTest","testLambdaStep","testLambdaStep()",""
